Date,Sum
2010-04-03,205445.071000009
2010-04-04,205272.892000001
2010-04-05,194673.196999999
2010-04-06,190379.081999999
2010-04-07,212583.078999997
2010-04-08,206668.534000000
2010-04-09,205807.859000004
2010-04-10,200398.005000006
2010-04-11,187649.160000006
2010-04-12,177811.510000005
2010-04-13,191422.328000005
2010-04-14,192143.268000004
2010-04-15,193995.450000003
2010-04-16,194111.371000006
2010-04-17,190482.003000002
2010-04-18,185908.998999999
2010-04-19,179211.056000003
2010-04-20,191770.119999997
2010-04-21,194924.502000000
2010-04-22,194404.684000006
2010-04-23,192489.163000001
2010-04-24,190634.904000001
2010-04-25,191488.492000003
2010-04-26,179614.263999995
2010-04-27,188916.763999998
2010-04-28,195793.786000010
2010-04-29,191732.918999999
2010-04-30,190488.888000001
2010-05-01,191776.572999997
2010-05-02,185580.045999999
2010-05-03,174927.045000002
2010-05-04,174782.348000002
2010-05-05,193601.049999999
2010-05-06,195128.572000001
2010-05-07,193780.027000000
2010-05-08,191065.879000003
2010-05-09,180659.502000002
2010-05-10,174024.868999999
2010-05-11,188848.471999998
2010-05-12,192409.879000004
2010-05-13,190026.956999994
2010-05-14,191290.736000000
2010-05-15,187667.910000002
2010-05-16,181031.202000003
2010-05-17,172161.525999998
2010-05-18,184116.826000003
2010-05-19,190563.038999998
2010-05-20,185991.542000000
2010-05-21,182466.958999999
2010-05-22,181920.277999996
2010-05-23,174499.967999998
2010-05-24,162922.012999998
2010-05-25,179715.031000005
2010-05-26,178532.821000002
2010-05-27,178695.868999998
2010-05-28,181492.815999999
2010-05-29,181040.301999999
2010-05-30,178924.814999999
2010-05-31,168268.413000000
2010-06-01,183278.326000003
2010-06-02,179766.557999998
2010-06-03,178934.733000004
2010-06-04,178702.117000001
2010-06-05,177921.504999988
2010-06-06,169597.948000001
2010-06-07,159561.542999996
2010-06-08,165903.534999998
2010-06-09,185424.074000002
2010-06-10,186012.676999998
2010-06-11,180259.115000003
2010-06-12,178442.789999998
2010-06-13,172966.023000002
2010-06-14,167134.900000001
2010-06-15,177612.884000003
2010-06-16,177201.219000000
2010-06-17,178099.758000001
2010-06-18,178936.331000000
2010-06-19,179293.612000001
2010-06-20,168072.457000000
2010-06-21,158519.172999997
2010-06-22,175253.952999996
2010-06-23,177978.286999994
2010-06-24,178474.982999999
2010-06-25,177136.804000000
2010-06-26,178903.823000000
2010-06-27,169603.536000002
2010-06-28,161269.674000000
2010-06-29,177919.225000005
2010-06-30,176891.984000002
2010-07-01,178394.557000003
2010-07-02,178485.112999999
2010-07-03,176091.423000000
2010-07-04,168755.499000004
2010-07-05,159922.850999997
2010-07-06,172656.498999999
2010-07-07,179433.377000001
2010-07-08,175859.140999995
2010-07-09,178604.127000000
2010-07-10,179141.372000007
2010-07-11,175114.353000003
2010-07-12,162352.845000003
2010-07-13,173268.058000003
2010-07-14,180522.445000003
2010-07-15,179068.979999997
2010-07-16,181373.419000004
2010-07-17,177359.657999998
2010-07-18,170399.472000001
2010-07-19,164361.900000001
2010-07-20,176859.726999998
2010-07-21,166836.887999996
